iter	Logloss
0	0.6059750366
1	0.5374983521
2	0.4740671387
3	0.4202907104
4	0.3773730469
5	0.3406929932
6	0.3059987183
7	0.2779218445
8	0.2515370331
9	0.2320375977
10	0.2168560181
11	0.2003883514
12	0.1873700562
13	0.175971756
14	0.1653974915
15	0.1559869385
16	0.148064682
17	0.1406853027
18	0.1325571594
19	0.1278988724
20	0.1222370071
21	0.1171024857
22	0.1118217926
23	0.1084671021
24	0.1048962097
25	0.1013146667
26	0.09754467773
27	0.0948384552
28	0.09228742981
29	0.08961676025
30	0.08714395142
31	0.08416381836
32	0.08187030029
33	0.07966344452
34	0.07763194275
35	0.07539041138
36	0.07367622375
37	0.07236454773
38	0.0704370575
39	0.06887837219
40	0.06733418274
41	0.06622337341
42	0.06505470276
43	0.06350630188
44	0.06236053085
45	0.06129210663
46	0.06040452576
47	0.05960295868
48	0.05882122803
49	0.05773043442
50	0.05691613388
51	0.05612121964
52	0.05505831909
53	0.0541474762
54	0.05295527649
55	0.0522937088
56	0.05127452469
57	0.05054061508
58	0.04961303711
59	0.04900554276
60	0.04829258347
61	0.04776393127
62	0.04674118805
63	0.04625588989
64	0.04560404968
65	0.04479817963
66	0.04463611221
67	0.04421310043
68	0.04359082794
69	0.0429885788
70	0.04239788818
71	0.04191899109
72	0.04124703979
73	0.04091695023
74	0.04059485245
75	0.04022298431
76	0.03973832321
77	0.03919052505
78	0.03880823135
79	0.03823072815
80	0.03768434906
81	0.03742688751
82	0.03695541382
83	0.03661245728
84	0.03646908569
85	0.03621935272
86	0.03592822647
87	0.03556123352
88	0.03512622833
89	0.03472616577
90	0.03446776962
91	0.03403768539
92	0.03381368637
93	0.03356409454
94	0.03317219543
95	0.03298500443
96	0.0327982254
97	0.03246997833
98	0.03206107712
99	0.03195992279
100	0.03173446655
101	0.03171558762
102	0.03148112679
103	0.03116199875
104	0.03078606033
105	0.03035139847
106	0.0300680542
107	0.02995409393
108	0.02967245865
109	0.02949092484
110	0.02923511505
111	0.02889219666
112	0.02862552643
113	0.02861188507
114	0.02842084503
115	0.02806930351
116	0.02775852013
117	0.02747303772
118	0.02741592216
119	0.02716758347
120	0.02708553886
121	0.02703210831
122	0.02693463135
123	0.02676749039
124	0.02645628166
125	0.02632235146
126	0.02607691574
127	0.02597344208
128	0.02568864059
129	0.02542157364
130	0.02501768303
131	0.0249686985
132	0.02470582199
133	0.02458210373
134	0.02454229355
135	0.02428505707
136	0.02413257217
137	0.02390426254
138	0.0235677948
139	0.02355811691
140	0.02328735733
141	0.02299487686
142	0.02280755615
143	0.0226397419
144	0.02238946533
145	0.02218508148
146	0.02194752502
147	0.02174290466
148	0.02157001686
149	0.02143129349
150	0.02130910492
151	0.02118364716
152	0.02107183075
153	0.02099322701
154	0.02086610031
155	0.02062218857
156	0.02059035873
157	0.0203983345
158	0.0203428154
159	0.02022215652
160	0.02012054634
161	0.0199161644
162	0.01962475204
163	0.01948316002
164	0.01932286072
165	0.01917258835
166	0.01909012413
167	0.01889593124
168	0.01884561157
169	0.0187012043
170	0.01858683395
171	0.01837189865
172	0.01823793221
173	0.01823788834
174	0.01807196426
175	0.0179960289
176	0.01785816956
177	0.01778490639
178	0.01763282967
179	0.01746038055
180	0.01729802704
181	0.01729024124
182	0.01709116554
183	0.01707765579
184	0.01697547722
185	0.01697543907
186	0.01696144676
187	0.01690081406
188	0.0168925972
189	0.01673116684
190	0.0165623436
191	0.01648470688
192	0.0163771286
193	0.01629265594
194	0.01615235138
195	0.016076437
196	0.0159465847
197	0.0158692503
198	0.01581787395
199	0.01581785393
